RefSeq. ID	UniProt SwissProt	Protein Name C1	C2	C3	C4	C5	C6	H1	H2	H3	H4	H5	H6	c1	c2	c3	h1	h2	h3
NP_000282	P00558	Phosphoglycerate kinase 1	9.76579	9.46622	9.64102	9.42041	8.50086	8.98481	9.79139	9.66916	9.86863	9.91310	9.51803	9.75455	-0.08927	0.48543	0.41143	-2.18442	-0.68966	-0.07400
NP_000356	P60175	Triosephosphate isomerase	11.73790	11.66495	12.64739	11.95427	11.89594	11.85377	11.84324	11.66482	12.01645	12.10825	12.31891	12.23956	0.60407	0.66903	0.41143	0.75702	0.65076	-0.02915
NP_000405	P51659	Peroxisomal multifunctional enzyme type 2	12.24188	11.96430	12.17106	12.57669	11.46535	12.21202	12.23587	11.89227	11.44982	11.90981	11.52257	11.56573	0.11103	0.37851	-0.59946	0.70487	-0.57777	-0.51457
NP_000420	Q00266	S-adenosylmethionine synthetase isoform type-1	13.94825	13.42210	13.54206	13.15739	13.36081	13.48998	13.49645	13.20062	13.14893	13.43065	13.21264	12.36120	0.12433	0.20163	-0.59946	0.78241	0.01436	-0.97143
NP_000437	P27169	Serum paraoxonase/arylesterase 1	10.48463	10.62774	9.46566	10.86221	9.80316	9.77141	11.36205	11.45931	11.17931	11.04159	10.96356	11.06765	0.23879	0.18903	-0.12029	0.56560	1.13750	-0.41504
NP_000445	P60052	Superoxide dismutase [Cu-Zn]	14.14749	14.18258	13.84981	14.13124	13.69326	13.91177	14.19228	14.17598	14.08531	14.14441	14.11548	14.10368	0.20163	0.71370	0.36737	-1.12029	-0.15200	-0.35845
NP_000468	P02768	Serum albumin precursor	12.37823	12.66912	11.98018	12.48218	12.80284	11.97791	12.24521	12.50010	12.83234	12.87929	13.00942	12.43603	0.22651	0.41143	0.48543	-0.57777	-0.47393	0.17632
NP_000498	P09467	Fructose-1,6-bisphosphatase 1	14.07715	12.91482	12.80960	12.23593	12.77109	13.54732	13.40370	13.16804	13.25506	13.36325	13.39962	12.52112	-0.49411	0.50589	-1.08927	0.40054	0.11103	1.79909
NP_000499	P02671	Fibrinogen alpha chain precursor	12.00837	12.76722	12.76441	12.69422	12.74256	12.38300	12.61419	12.44295	12.57149	12.29512	12.68746	11.53579	-0.47393	-4.05889	0.49570	1.05658	0.78241	0.08406
NP_000500	P02679	Fibrinogen gamma chain precursor	14.28624	14.46709	14.47150	14.58516	14.23367	14.36073	14.56119	14.49332	14.46578	14.23987	14.37706	14.06463	1.09085	0.05658	0.48543	-0.45403	2.90497	0.00000
NP_000509	P68873	Hemoglobin subunit beta	12.18077	13.05718	11.45025	11.85356	10.74253	13.23450	11.59878	10.53423	12.55187	13.51623	12.94935	12.11201	-1.47393	0.00000	-0.23447	-0.91594	-0.39593	1.07724
NP_000574	P02774	Vitamin D-binding protein precursor	14.11465	14.02239	14.11160	14.18878	13.88872	13.85832	14.15650	14.25268	14.13929	14.10961	14.07627	14.02572	0.73118	0.52607	0.41143	-0.64386	-0.01450	-0.21759
NP_000583	P0C0L5	Complement C4-B precursor	14.00427	13.92590	14.10461	14.09435	14.33531	14.37769	14.00623	13.75769	14.06418	13.82722	14.18201	13.40089	0.15056	0.59455	0.62293	-0.41504	2.66448	0.08406
NP_000654	P80404	4-aminobutyrate aminotransferase, mitochondrial precursor	10.36101	10.19014	9.81029	9.62719	9.72324	9.42561	11.60239	11.29108	11.46896	11.56645	11.19908	11.27268	-0.15200	-2.00000	0.00000	0.67807	-0.47393	0.17632
NP_000658	P07327	Alcohol dehydrogenase 1A	12.41640	13.05035	8.72624	13.45236	13.00496	11.76529	13.06901	13.04760	12.74408	13.05520	12.97907	12.30243	0.22651	0.63227	0.36737	-1.02915	0.18903	0.02857
NP_000659	P00325	Alcohol dehydrogenase 1B	11.77440	12.35819	10.41899	11.89563	12.06767	11.47764	11.53161	11.51438	11.13933	11.45668	11.23360	10.97864	0.72247	1.00720	0.40054	-1.39593	-0.62149	-1.02915
NP_000661	P08319	Alcohol dehydrogenase 4	8.27627	8.60205	6.16193	9.78708	9.23964	7.95143	10.50147	10.41722	10.38965	10.12970	10.30407	10.19923	-0.66658	0.05658	-0.91594	0.05658	1.05658	0.17632
NP_000680	P00352	Retinal dehydrogenase 1	12.79476	13.10098	10.63224	13.62194	12.90792	10.97335	13.27771	13.26689	12.49573	12.78375	12.19866	12.59517	0.42223	1.28096	0.74846	-1.25154	-0.51457	-0.64386
NP_000681	P05091	Aldehyde dehydrogenase, mitochondrial precursor	13.65443	13.63660	13.33894	13.68640	13.54844	13.65718	13.64838	13.60472	13.70700	14.01015	13.75621	13.79517	0.91073	0.29866	0.08406	0.15056	0.20163	-0.51457
NP_000706	P04003	C4b-binding protein alpha chain precursor	13.59229	13.73286	13.02538	13.76317	13.88839	13.29025	14.16766	13.79958	14.00655	13.38044	13.83037	13.62722	0.70487	0.83996	0.32193	0.78241	-0.49411	-0.59946
NP_000761	P10632	Cytochrome P450 2C8	10.56505	10.37984	8.57318	10.78512	10.21808	9.35029	10.94800	10.95325	10.94120	10.84462	10.58717	10.75863	0.34483	0.29866	-0.05889	0.15056	0.09761	-0.28630
NP_000764	P05181	Cytochrome P450 2E1	14.35726	14.04023	14.18089	14.04188	13.16958	14.30568	14.40046	14.38194	14.30203	14.38010	14.27377	14.37750	0.48543	-0.39593	-1.00000	0.07039	0.18903	0.09761
NP_000884	P01042	Kininogen-1 precursor	13.67958	13.83878	13.10184	13.87311	13.89922	13.45811	14.12995	14.19442	14.09024	13.89808	14.07514	14.09612	0.38957	0.01436	0.23879	0.82375	0.21412	-1.35845
NP_000911	P11498	Pyruvate carboxylase, mitochondrial precursor	11.59991	11.69057	11.31562	11.04392	11.55667	11.79393	11.05076	10.59669	10.98763	10.72941	11.22873	10.21998	-0.15200	0.41143	-0.12029	0.02857	-0.68966	-0.53533
NP_000933	P23284	Peptidyl-prolyl cis-trans isomerase B precursor	12.55232	12.46989	12.66711	12.39589	12.71724	13.33018	11.75635	11.87109	12.45258	12.25102	12.56724	12.38600	0.68706	-0.20091	0.27501	-0.62149	0.35614	-0.10470
NP_000959	P36578	60S ribosomal protein L4	7.87301	8.52279	8.23063	7.63750	7.67923	8.08124	8.10626	8.16132	8.19253	8.32785	8.35289	8.60535	-0.45403	-1.55639	-0.18442	-1.28630	1.07039	-0.34008
NP_000969	P62832	60S ribosomal protein L23	12.99812	12.87894	12.34843	13.10472	13.00907	12.55182	13.23459	13.38365	13.26093	12.94085	13.24494	13.37239	1.41143	0.02857	0.23879	0.56560	0.00000	-0.66658
NP_000980	P62890	60S ribosomal protein L30	8.95642	8.84495	8.60821	9.08305	8.82218	8.87299	9.30327	9.30361	9.28924	9.12609	9.23882	9.20818	1.02148	-3.83650	-0.25154	0.79909	0.65076	0.27501
NP_000993	P05388	60S acidic ribosomal protein P0	13.44714	13.57355	13.45034	13.37760	13.61268	14.11653	13.48606	13.60116	13.49572	13.61181	13.54441	13.87995	0.97820	0.08406	-0.32193	0.62293	0.49570	1.23266
NP_000994	P05386	60S acidic ribosomal protein P1	13.93928	14.08697	13.92188	13.68525	14.03419	14.17919	13.59417	13.73247	13.78056	13.84207	13.87176	13.99056	0.66903	-0.07400	-0.32193	0.07039	0.25096	-0.18442
NP_000998	P62703	40S ribosomal protein S4, X isoform	12.93057	12.73839	12.38529	13.53253	13.40810	12.97949	13.20343	13.66222	13.63919	12.90152	13.32517	13.32587	0.46467	0.37851	0.49570	1.95233	0.76553	0.83996
NP_001003	P62243	40S ribosomal protein S8	8.32294	8.25695	8.14668	8.14341	8.14698	8.28130	8.32649	8.37463	8.23880	8.19521	8.22872	8.24080	1.59455	-0.51457	-0.08927	3.28244	0.87971	0.72247
NP_001012	P08708	40S ribosomal protein S17	7.99378	7.99263	7.87415	7.92879	8.05503	8.08210	8.03473	8.05582	8.01877	7.94807	8.06800	8.10795	-0.12029	-0.16812	0.60407	0.44361	0.35614	1.60881
NP_001015	P63221	40S ribosomal protein S21	8.47306	8.55922	8.64603	8.48175	8.36410	8.53616	8.63464	8.66138	8.72157	8.74323	8.59026	8.63212	0.25096	0.07039	-0.08927	-0.08927	0.50589	-0.18442
NP_001054	P02787	Serotransferrin precursor	11.17835	11.31242	11.25406	11.11099	10.98943	10.62500	12.20145	12.05215	12.55990	12.68907	12.27938	12.11938	-0.23447	-0.51457	0.23879	0.12433	0.67807	0.00000
NP_001071	P51649	Succinate semialdehyde dehydrogenase, mitochondrial precursor	9.57612	9.42654	8.32031	9.65524	9.34920	9.22466	10.60659	10.67482	10.54262	10.72678	10.47145	10.12902	0.84800	0.07039	0.26303	0.94860	0.87971	0.54597
NP_001076	P01011	Alpha-1-antichymotrypsin precursor	14.39670	14.86214	14.85495	14.53972	14.78442	14.73609	14.31266	14.10484	14.46643	14.00241	14.33678	14.00364	1.41684	0.23879	0.58496	-2.05889	-0.91594	-1.83650
NP_001092	P60707	Actin, cytoplasmic 1	13.45609	13.27505	13.89529	13.24070	13.46717	13.96309	13.19328	13.14927	13.15319	13.53116	13.24043	13.24371	0.40054	0.00000	-0.45403	0.00000	-0.01450	-0.13606
NP_001143	P05141	ADP/ATP translocase 2	7.51430	7.40771	6.77977	7.38589	7.40613	6.97435	7.18007	7.26268	6.91205	7.11943	7.08089	7.14449	1.82782	0.33342	-0.49411	-0.32193	0.18903	0.28688
NP_001144	P09525	Annexin A4	10.87415	11.46248	10.83547	11.61110	10.37178	11.77296	10.87219	10.76329	10.42976	10.92939	10.71775	10.45958	0.83188	-0.02915	-1.32193	-0.49411	-1.51457	-0.13606
NP_001150	Q06278	Aldehyde oxidase	13.56748	13.67678	12.94820	13.63012	13.44420	12.80033	13.58419	12.96358	12.79005	13.33666	13.02380	12.62941	0.54597	0.58496	0.28688	-0.71312	-0.59946	0.26303
NP_001173	P49419	Aldehyde dehydrogenase family 7 member A1	9.68980	9.02696	8.21696	9.30263	8.84345	8.50623	9.52197	9.55645	9.76684	9.86567	9.31256	9.39011	0.26303	0.16350	0.01436	0.54597	0.45418	-0.37707
NP_001350	Q16698	2,4-dienoyl-CoA reductase, mitochondrial precursor	9.26198	9.46768	8.90460	9.47794	9.16973	8.87062	9.63896	9.66962	9.29500	9.62528	9.20010	9.48542	0.83188	0.02857	-0.08927	0.29866	0.44361	-0.35845
NP_001419	P06733	Alpha-enolase	10.03049	9.95119	11.28320	9.92392	9.82671	10.48868	9.63910	9.57252	9.52363	10.01772	9.78336	10.02886	-0.73697	0.72247	-0.08927	-0.18442	0.50589	-0.64386
NP_001452	P49326	Dimethylaniline monooxygenase [N-oxide-forming] 5	10.03534	10.94389	8.17202	10.70854	9.99375	9.60538	11.36590	11.39848	10.86141	10.79846	10.36542	10.83364	0.55582	0.18903	0.27501	-0.08927	0.72247	-0.32193
NP_001473	P50440	Glycine amidinotransferase, mitochondrial precursor	10.77515	10.86604	10.76156	11.16983	10.13137	10.82459	11.80878	11.63709	11.69514	11.88450	11.73975	11.59357	0.21412	-0.18442	-0.43440	0.00000	0.69599	0.40054
NP_001598	P09110	3-ketoacyl-CoA thiolase, peroxisomal precursor	13.03392	12.15811	11.32683	12.33005	12.33479	12.21046	12.76136	12.65657	12.59434	12.97113	12.66136	12.42128	0.63227	0.21412	-0.37707	0.72247	0.32193	0.01436
NP_001600	P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial precursor	10.64418	10.68215	9.36084	10.43661	8.44759	10.33142	11.68135	11.66058	10.83653	11.20221	11.08811	10.86859	1.14405	0.60407	0.34483	-1.59946	-0.94342	-0.71312
NP_001613	P02765	Alpha-2-HS-glycoprotein precursor	13.67561	12.89509	12.80205	13.83226	13.50823	13.05325	13.95866	14.07789	14.18037	14.13225	14.03193	13.98273	0.41143	-1.08927	-0.15200	3.02503	0.73118	-0.28630
NP_001624	P02760	AMBP protein precursor	14.58245	14.43289	14.22717	14.49572	14.58803	14.43663	14.47982	14.54607	14.52982	14.53670	14.55586	14.51518	1.42761	0.46467	-0.07400	-0.62149	1.86790	0.53605
NP_001688	P48047	ATP synthase O subunit, mitochondrial precursor	10.86951	10.95104	9.97357	11.39527	10.80486	10.38802	11.26745	11.28287	11.12412	11.00703	11.13903	11.38321	0.33342	0.32193	-0.37707	0.54597	0.22651	0.53605
NP_001704	Q93088	Betaine--homocysteine S-methyltransferase	13.79136	13.73519	13.89063	13.72740	13.26958	13.78242	13.34454	13.21994	13.14258	13.38192	13.21789	12.65162	0.35614	1.11103	0.54597	-0.15200	0.15056	0.42223
NP_001743	P04040	Catalase	10.98277	10.82420	9.73494	10.68342	10.32350	10.11593	10.72034	10.64377	10.43446	11.01956	10.42423	10.64293	0.59455	0.41143	-0.18442	0.32193	0.18903	-0.26882
NP_001809	P17516	Aldo-keto reductase family 1 member C4	13.14159	13.09406	11.03668	12.95506	11.57747	11.86954	13.13455	12.78332	12.52194	13.10323	12.80874	12.44001	-5.64386	-6.64386	-0.02915	0.87184	1.14405	0.87184
NP_001822	P10909	Clusterin precursor	10.70569	11.02395	11.09666	11.20496	11.12538	11.13125	10.67200	10.67807	10.81799	10.76078	10.80504	10.52898	-4.32193	-2.94342	-0.94342	0.31034	0.48543	-0.73697
NP_001866	P31327	Carbamoyl-phosphate synthase [ammonia], mitochondrial precursor	13.51346	13.12936	12.76007	12.79495	11.60679	12.11997	13.31223	13.35335	12.96990	13.12820	12.71396	12.86134	0.62293	0.27501	0.29866	-0.28630	0.35614	-0.15200
NP_001899	P07858	Cathepsin B precursor	11.65154	12.34113	12.38454	10.20704	10.18076	10.55404	12.41637	12.45986	12.44485	12.14762	12.13467	11.67046	0.66903	0.65076	-0.57777	0.13750	-0.07400	-0.51457
NP_001952	Q5R8Z3	Elongation factor 2	13.19579	13.24531	13.19316	12.90874	13.39271	13.50182	13.36335	13.40126	13.23814	13.25625	13.43561	13.55563	0.36737	0.28688	-0.57777	0.21412	0.35614	0.26303
NP_001957	Q08426	Peroxisomal bifunctional enzyme	11.92248	11.26773	9.74241	12.01615	10.99010	11.14475	12.00004	11.95264	11.40521	11.81469	11.61088	11.58536	0.32193	-0.08927	-0.71312	1.14405	-0.18442	0.11103
NP_001986	P33121	Long-chain-fatty-acid--CoA ligase 1	12.90082	12.07955	12.97680	12.88405	12.41096	13.47643	13.11766	12.88449	12.98675	13.11191	12.48760	13.05745	-0.05889	-0.20091	-1.18442	0.63227	0.69599	0.17632
NP_002017	P02751	Fibronectin precursor	11.05966	10.90456	10.53941	10.78470	11.23746	10.36290	11.36189	11.01050	10.84645	11.01205	11.18689	10.92684	-0.57777	-0.21759	-0.45403	0.29866	0.15056	0.05658
NP_002037	P04406	Glyceraldehyde-3-phosphate dehydrogenase	13.40588	13.72815	14.18131	13.19741	12.79304	13.90231	13.40285	13.04987	13.26045	13.39764	13.13251	13.59439	0.50589	-0.02915	-0.18442	-0.59946	0.15056	0.01436
NP_002055	P35754	Glutaredoxin-1	10.24489	11.13632	10.45133	11.08016	10.97283	10.35508	10.88207	10.71309	11.30488	10.56815	10.57871	10.80374	-0.62149	0.48543	0.18903	-1.43440	-1.12029	-0.55639
NP_002071	P00505	Aspartate aminotransferase, mitochondrial precursor	13.30332	13.05152	12.83209	12.94257	12.98085	12.61580	12.82152	12.73164	12.60078	13.02033	12.89687	13.44846	0.65992	1.10434	0.56560	-0.39593	0.82375	0.37851
NP_002098	P84248	Histone H3.3	12.93740	12.96048	12.90709	12.83518	12.75593	12.87149	12.75849	12.81117	12.99276	12.95173	12.98829	12.73234	0.13750	-0.08927	0.18903	0.16350	0.18903	0.59455
NP_002147	P10809	60 kDa heat shock protein, mitochondrial precursor	9.94710	9.99335	10.80862	10.01996	10.53403	10.75467	10.63268	10.23731	9.74588	10.28494	9.57021	10.74025	0.77400	0.13750	0.05658	0.16350	-0.02915	-0.57777
NP_002159	P48735	Isocitrate dehydrogenase [NADP], mitochondrial precursor	10.31913	11.71230	11.52954	11.30996	11.96670	11.48300	10.95352	10.18548	11.01615	10.51480	11.53142	10.62050	0.37851	0.18903	0.02857	0.07039	0.44361	-0.53533
NP_002558	P30086	Phosphatidylethanolamine-binding protein 1	13.05822	13.16173	11.94282	12.83626	13.59076	12.66189	13.29154	13.35436	13.24023	13.31093	13.57640	13.40415	0.70487	0.17632	0.40054	0.02857	0.18903	-0.13606
NP_002626	Q00325	Phosphate carrier protein, mitochondrial precursor	12.56626	12.15698	12.64794	12.46679	11.86399	12.77556	12.79748	12.73651	12.77249	12.89919	12.68996	13.16018	1.18903	0.40054	-0.76121	0.62293	0.49570	0.48543
NP_002769	P07602	Proactivator polypeptide precursor	12.50440	12.04667	12.77469	11.55587	11.64749	12.54355	12.09912	12.16241	12.30950	12.36128	12.02735	11.87371	0.71370	0.44361	0.07039	0.28688	-0.59946	-0.08927
NP_002810	Q29099	Polypyrimidine tract-binding protein 1	10.16116	9.72011	10.19038	9.92239	10.18330	10.55333	9.77050	9.68837	10.00623	10.01600	9.78117	10.33776	1.02148	0.37851	-0.32193	0.35614	-0.28630	0.12433
NP_002854	P06737	Glycogen phosphorylase, liver form	8.76718	8.85572	8.92873	8.88183	8.93485	8.56068	8.20790	8.04509	8.10113	8.53304	8.49793	9.24291	0.42223	1.34483	0.38957	-0.43440	-0.28630	-1.32193
NP_002930	P13489	Ribonuclease inhibitor	9.35206	9.11881	9.27778	9.09086	9.18206	9.61785	9.03328	9.00202	9.20202	9.20297	9.27212	9.12580	-0.86250	0.61353	3.92125	0.57531	1.80323	0.57531
NP_002955	P05109	Protein S100-A8	7.41907	8.14452	11.78501	7.29831	7.44903	10.25902	9.30052	7.45528	10.90497	9.70350	10.45563	7.50804	-0.26882	0.51602	0.71370	-0.57777	-0.53533	2.09424
NP_002991	P21912	Succinate dehydrogenase [ubiquinone] iron-sulfur protein, mitochondrial precursor	11.21305	11.18185	10.74221	11.15930	11.06483	10.94538	10.23247	9.98872	10.65856	10.84455	10.35174	10.63914	0.51602	0.11103	-0.39593	0.79077	0.13750	0.08406
NP_003095	Q00796	Sorbitol dehydrogenase	12.05234	11.89312	12.58979	11.86247	11.61345	12.25559	12.38010	12.14264	11.89799	12.57534	11.98354	12.49568	0.47508	0.23879	-0.15200	0.09761	-0.12029	-0.30401
NP_003118	Q13813	Spectrin alpha chain, brain	9.86665	9.88319	9.72445	8.92476	9.76576	10.00402	8.89505	8.97143	8.93066	9.08139	9.64425	9.50876	0.17632	0.01436	-0.55639	0.81558	0.54597	0.28688
NP_003119	Q01082	Spectrin beta chain, brain 1	8.57848	8.80826	8.66672	8.51564	8.85072	8.90181	8.51935	8.56589	8.55831	8.69529	8.79478	8.80985	0.01436	-0.37707	-0.51457	-0.04394	0.13750	0.18903
NP_003312	P49411	Elongation factor Tu, mitochondrial precursor	12.35388	12.44726	11.98435	12.13387	12.78084	12.35545	11.58186	11.49797	11.97637	11.88905	12.09433	11.97753	0.37851	0.64155	0.13750	0.63227	0.46467	0.16350
NP_003357	P22695	Ubiquinol-cytochrome-c reductase complex core protein 2, mitochondrial precursor	9.25866	8.95066	8.96670	8.90068	8.69672	8.42878	9.08404	8.88327	9.03635	9.23117	8.88884	9.01445	-0.10470	-1.18442	-0.47393	1.07039	0.54597	0.51602
NP_003365	P21796	Voltage-dependent anion-selective channel protein 1	10.02159	10.31527	10.55777	10.17548	9.64245	10.71957	10.98423	10.77843	10.59624	10.90688	10.84025	10.92644	0.31034	1.18903	-0.10470	-0.30401	-0.59946	-0.25154
NP_003371	P08670	Vimentin	12.50477	11.58697	12.19032	10.67997	10.68964	12.13323	11.25873	11.68354	11.73882	11.22776	11.62510	10.36352	0.43296	-0.34008	-0.57777	-0.49411	-0.25154	1.55582
NP_003670	O15229	Kynurenine 3-monooxygenase	9.49780	9.91577	9.03879	10.09745	8.07338	8.79894	10.61635	10.30033	9.94635	9.84684	9.72650	9.57293	-2.12029	-1.39593	-1.68966	0.96347	0.66903	0.33342
NP_003739	P30038	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial precursor	10.76741	10.91744	11.41303	10.54052	9.85368	11.50577	11.04814	10.75923	11.15092	11.24986	10.79856	11.13554	0.55582	-0.20091	0.20163	-0.34008	-0.23447	-0.68966
NP_003840	P53597	Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial precursor	11.97078	12.05773	12.17167	12.24924	11.64959	12.16790	12.25531	12.19588	12.20524	12.20606	12.09636	12.47229	0.55582	-0.45403	-0.10470	-0.21759	0.54597	0.02857
NP_004042	Q02338	D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor	8.95951	8.60014	8.63622	8.63829	8.36561	8.79752	8.73380	8.66916	8.93374	9.23289	9.08256	8.91703	0.76553	0.08406	-0.71312	0.02857	0.83188	-0.07400
NP_004075	P59665	Neutrophil defensin 1 precursor	6.83821	7.11360	8.49512	6.55681	6.49797	6.61366	7.01308	6.61320	10.59685	7.66138	7.47777	6.89405	-0.47393	0.72247	0.15056	-1.18442	-0.59946	1.88753
NP_004083	P30084	Enoyl-CoA hydratase, mitochondrial precursor	13.58472	13.87902	13.59688	13.54537	13.63460	13.74474	13.39166	13.32849	13.45361	13.67306	13.50027	13.77774	0.65992	0.65992	0.50589	-0.20091	-0.04394	-0.45403
NP_004095	P49327	Fatty acid synthase	9.04721	9.99019	8.37390	11.05449	10.04499	10.90453	9.29865	10.41406	10.27072	10.25475	11.90156	13.22076	-0.83650	-0.45403	-0.73697	1.48543	1.31034	1.76553
NP_004125	P38646	Stress-70 protein, mitochondrial precursor	8.34810	8.29054	8.28549	8.58889	8.21423	8.76077	9.15977	9.05355	8.78708	8.99838	8.80350	9.09594	1.07039	0.35614	-0.26882	0.29866	0.09761	-0.62149
NP_004159	P31040	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial precursor	11.47659	11.27865	11.35204	11.27700	10.99266	11.63939	11.04278	11.04889	11.27090	11.40371	11.25649	11.23621	0.83188	0.47508	-0.35845	0.65992	0.15056	0.33342
NP_004160	P34896	Serine hydroxymethyltransferase, cytosolic	9.72236	9.71776	9.71544	9.48044	9.61174	9.76384	9.24872	9.05934	9.32926	9.41243	9.21942	9.46053	0.31034	0.75702	0.32193	-0.73697	0.01436	-0.21759
NP_004360	P12111	Collagen alpha-3(VI) chain precursor	11.23351	9.06343	8.99521	9.81747	9.98994	9.80547	9.22566	9.40972	9.34759	9.04256	9.53559	9.30973	0.87971	0.43296	-0.59946	1.31034	0.98550	0.41143
NP_004484	Q99714	3-hydroxyacyl-CoA dehydrogenase type-2	12.62112	12.33643	11.51384	12.26441	12.31376	12.65462	11.85213	11.60266	12.06845	12.26003	11.91812	12.15625	0.82375	0.41143	0.09761	-0.43440	0.42223	0.04264
NP_004507	Q12906	Interleukin enhancer-binding factor 3	9.16331	8.77627	8.68055	8.48893	9.04124	9.21907	8.66052	8.72776	8.86735	8.86021	9.06322	9.04278	0.79909	-0.30401	-0.66658	1.36737	0.40054	-0.32193
NP_004578	Q9P2E9	Ribosome-binding protein 1	9.84119	9.87661	9.99733	9.88742	10.43563	10.29511	9.69125	9.76167	10.20904	9.74419	10.32132	10.25299	0.43296	0.50589	0.02857	-0.51457	-0.51457	0.17632
NP_004604	P21980	Protein-glutamine gamma-glutamyltransferase 2	8.63606	9.76799	10.94193	8.60141	8.32098	10.31407	8.44318	8.03952	8.59480	8.32370	7.95459	10.02926	0.69599	-0.35845	0.25096	0.29866	0.51602	0.20163
NP_004896	P30041	Peroxiredoxin-6	10.52332	10.63825	9.90714	10.45902	11.17723	10.46711	10.75651	10.51773	10.77090	10.99174	9.81747	9.88712	0.78241	1.16350	0.37851	-1.12029	-0.43440	-0.73697
NP_004915	O43707	Alpha-actinin-4	10.03302	9.74322	10.15245	10.21459	10.15806	10.16571	9.88001	9.89340	10.11465	10.13935	10.34601	11.14782	0.31034	0.95606	1.02148	1.31034	1.44890	0.91073
NP_005132	P02675	Fibrinogen beta chain precursor	14.32792	14.46025	14.47516	14.44423	14.32275	14.45912	14.41743	14.34203	14.31970	14.18584	14.24436	13.88378	0.96347	-0.04394	0.12433	-0.71312	-0.45403	0.04264
NP_005134	P00738	Haptoglobin precursor	14.61435	14.72169	14.61742	14.63077	14.71020	14.61926	14.61591	14.47898	14.58954	14.53827	14.63491	14.45206	0.71370	0.34483	0.07039	0.35614	-0.53533	0.00000
